Closing_price,Highest_price,Last_Modified,Number_of_transactions,Opening_price,Securities_abbreviation,Securities_code,Transaction_date,currency,market,minimum_price,price_limit,trading_volume,ups_downs
12.21,12.3,"Sun, 06 Oct 2024 01:12:57 GMT",543028364,11.62,平安银行,000001-SZE,2024-09-30,CNY,SZE,11.56,6.9177,6467438837.7,0.79
9.72,9.72,"Sun, 06 Oct 2024 01:12:57 GMT",579726570,9.72,万  科Ａ,000002-SZE,2024-09-30,CNY,SZE,9.27,9.9548,5592761873.34,0.88
16.3,16.3,"Sun, 06 Oct 2024 01:12:57 GMT",40582365,14.94,国华网安,000004-SZE,2024-09-30,CNY,SZE,14.94,9.9865,636048463.43,1.48
5.59,5.6,"Sun, 06 Oct 2024 01:12:57 GMT",125642088,5.49,深振业Ａ,000006-SZE,2024-09-30,CNY,SZE,5.21,8.9669,684436800.2,0.46
6.77,6.77,"Sun, 06 Oct 2024 01:12:57 GMT",19452091,6.42,全新好,000007-SZE,2024-09-30,CNY,SZE,6.25,10.0813,128200050.26,0.62
2.41,2.43,"Sun, 06 Oct 2024 01:12:57 GMT",144702656,2.3,神州高铁,000008-SZE,2024-09-30,CNY,SZE,2.26,8.5586,340585432.87,0.19
9.61,9.61,"Sun, 06 Oct 2024 01:12:57 GMT",64738816,9.09,中国宝安,000009-SZE,2024-09-30,CNY,SZE,9.08,9.9542,614130982.6,0.87
2.18,2.18,"Sun, 06 Oct 2024 01:12:57 GMT",56565770,2.06,美丽生态,000010-SZE,2024-09-30,CNY,SZE,2.02,10.101,119940517.08,0.2
9.82,9.88,"Sun, 06 Oct 2024 01:12:57 GMT",32211311,9.6,深物业A,000011-SZE,2024-09-30,CNY,SZE,9.19,7.4398,308586780.52,0.68
5.78,5.83,"Sun, 06 Oct 2024 01:12:57 GMT",70806344,5.56,南  玻Ａ,000012-SZE,2024-09-30,CNY,SZE,5.5,7.4349,402725235.24,0.4
11.2,11.3,"Sun, 06 Oct 2024 01:12:57 GMT",32593781,11.0,沙河股份,000014-SZE,2024-09-30,CNY,SZE,10.48,6.7684,356534707.9,0.71
3.31,3.32,"Sun, 06 Oct 2024 01:12:57 GMT",122032513,3.11,深康佳Ａ,000016-SZE,2024-09-30,CNY,SZE,3.03,9.2409,391563473.2,0.28
6.63,6.68,"Sun, 06 Oct 2024 01:12:57 GMT",41767527,6.3,深中华A,000017-SZE,2024-09-30,CNY,SZE,6.12,8.5106,269103916.88,0.52
6.75,6.79,"Sun, 06 Oct 2024 01:12:57 GMT",25054893,6.45,深粮控股,000019-SZE,2024-09-30,CNY,SZE,6.34,7.1429,165343237.71,0.45
15.72,15.88,"Sun, 06 Oct 2024 01:12:57 GMT",22491888,14.86,深华发Ａ,000020-SZE,2024-09-30,CNY,SZE,14.2,8.1155,340333259.29,1.18
16.53,16.55,"Sun, 06 Oct 2024 01:12:57 GMT",106300522,15.7,深科技,000021-SZE,2024-09-30,CNY,SZE,15.4,9.8339,1708921065.95,1.48
16.86,17.0,"Sun, 06 Oct 2024 01:12:57 GMT",21871403,16.37,特  力Ａ,000025-SZE,2024-09-30,CNY,SZE,15.7,8.3548,361556099.55,1.3
10.43,10.57,"Sun, 06 Oct 2024 01:12:57 GMT",14149140,9.97,飞亚达,000026-SZE,2024-09-30,CNY,SZE,9.77,7.1942,144066506.99,0.7
6.99,6.99,"Sun, 06 Oct 2024 01:12:57 GMT",79594032,6.69,深圳能源,000027-SZE,2024-09-30,CNY,SZE,6.56,10.0787,544012490.02,0.64
31.63,31.91,"Sun, 06 Oct 2024 01:12:57 GMT",14295471,29.99,国药一致,000028-SZE,2024-09-30,CNY,SZE,29.46,9.0314,439579976.95,2.62
16.57,17.28,"Sun, 06 Oct 2024 01:12:57 GMT",56412824,16.5,深深房Ａ,000029-SZE,2024-09-30,CNY,SZE,15.31,5.4742,937841879.04,0.86
5.31,5.33,"Sun, 06 Oct 2024 01:12:57 GMT",26315203,5.1,富奥股份,000030-SZE,2024-09-30,CNY,SZE,5.02,8.8115,137353050.46,0.43
3.36,3.36,"Sun, 06 Oct 2024 01:12:57 GMT",73140811,3.25,大悦城,000031-SZE,2024-09-30,CNY,SZE,3.14,10.1639,240543437.68,0.31
17.31,17.31,"Sun, 06 Oct 2024 01:12:57 GMT",56727998,17.0,深桑达Ａ,000032-SZE,2024-09-30,CNY,SZE,16.12,9.9746,956510218.53,1.57
30.78,30.78,"Sun, 06 Oct 2024 01:12:57 GMT",55978481,29.38,神州数码,000034-SZE,2024-09-30,CNY,SZE,29.0,10.0071,1683567700.43,2.8
5.06,5.1,"Sun, 06 Oct 2024 01:12:57 GMT",58823710,4.82,中国天楹,000035-SZE,2024-09-30,CNY,SZE,4.82,8.5837,292301071.51,0.4
3.82,3.82,"Sun, 06 Oct 2024 01:12:57 GMT",40661610,3.62,华联控股,000036-SZE,2024-09-30,CNY,SZE,3.61,10.0865,151837225.58,0.35
